product_id,base_item_code,item_code,name,category1,category1_1,category1_3,category1_4,collections1,collections2,collections3,collections4,menu_id,category_id,price,image_alt,created_at,updated_at
18,BKB852200,BKB852200104,Two-piece PB Labyrinth swimsuit,Women,Ready-To-Wear,Swimwear,,,,,Pre-order,20,"[1,2,20,133,22,3]",625,Two-piece PB Labyrinth swimsuit,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
19,EN1DB943LHLB,EN1DB943LHLB0PA,Medium Jolie Madame bag in quilted leather,Women,Bags,Handbags ,,Jolie Madame Bags,Essentials For Her,Atelier Balmain,New,23,"[1,21,22,23,30,69,70,134,133,22]",3200,Medium Jolie Madame bag in quilted leather,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
20,EN1DB530LHLB,EN1DB530LHLB0PA,B-Buzz 23 bag in diamond-quilted calfskin,Women,Bags,Crossbody Bags,,B-Buzz Bags,,,New,24,"[1,21,24,32,67,133,22]",2895,B-Buzz 23 bag in diamond-quilted calfskin,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
21,EN1BQ954,EN1BQ954LETF0PA,1945 Soft Moon bag in monogrammed calfskin,Women,Bags,Shoulder Bags,,1945 Bags,Gifts For Her,,New,25,"[1,21,25,34,67,138,133,22]",2450,1945 Soft Moon bag in monogrammed calfskin,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
22,EN1BQ954,EN1BQ954TTSD6FF,1945 Soft Moon bag in diamond-quilted denim,Women,Bags,Shoulder Bags,,1945 Bags,,,New,25,"[1,21,25,34,67,138,133,22]",2450,1945 Soft Moon bag in diamond-quilted denim,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
23,DN0FD871LETF,DN0FD871LETF0DA,Small 1945 Soft bag in embossed crackled calfskin with a PB Labyrinth monogram,Women,Bags,Tote Bags,,1945 Bags,,,,26,"[1,21,26,34,138,133,22]",2595,Small 1945 Soft bag in embossed crackled calfskin with a PB Labyrinth monogram,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
24,EN1DA961TECS,EN1DA961TECSGAU,"Small Jolie Madame bag with ""Love Letter"" print",Women,Bags,Mini Bags,,Jolie Madame Bags,,,New,27,"[1,21,27,30,67,134,133,22]",2395,"Small Jolie Madame bag with ""Love Letter"" print",2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
25,EN1LN245LVGU,EN1LN245LVGU0PA,Crewneck zipped calfskin pouch,Women,Bags,Clutches,,,,,New,28,"[1,21,28,67,133,22]",1995,Crewneck zipped calfskin pouch,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
26,DN1FM872TCFE,DN1FM872TCFEGEM,Canvas and leather B-army Grocery Bag,Women,Bags,Grocery Bags,,B-Army Bags,,,,29,"[1,21,133,29,33,137,22]",950,Canvas and leather B-army Grocery Bag,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
27,EN1VI736KRCT,EN1VI736KRCTEAB,"Unicorn Wave trainers with ""Love Letter"" print",Women,Sneakers,Unicorn,,,,,New,40,"[1,38,39,40,140,141,142,143,67,52,46,47]",1350,"Unicorn Wave trainers with ""Love Letter"" print",2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
28,EM1VI360TRID,EM1VI360TRIDSEE,Denim Balmain Swan trainers,Men,Sneakers,Swan,,,,,New,95,"[92,93,95,100,101,103,148,149,151,67]",575,Denim Balmain Swan trainers,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
29,EN1VI735TRID,EN1VI735TRIDSEE,Denim Balmain Swan trainers,Women,Sneakers,Swan,,,,,New,41,"[1,38,39,41,140,141,142,144,67,53,46,47]",575,Denim Balmain Swan trainers,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
30,CN0VI727TDNM,CN0VI727TDNM6KF,B-Court Flip sneakers in monogrammed denim,Women,Sneakers,B-Court,,,,,,42,"[1,38,39,42,140,141,142,145,54,46,47]",775,B-Court Flip sneakers in monogrammed denim,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
31,DN1VI714TRCM,DN1VI714TRCMEAB,"B-East trainers in leather, suede and mesh",Women,Sneakers,B-East,,,,,,43,"[1,38,39,43,55,140,141,142,146,46,47]",895,"B-East trainers in leather, suede and mesh",2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
32,CN0VI730LLNP,CN0VI730LLNP0CV,Run-Row leather and nylon sneakers,Women,Sneakers,Run-Row,,,,,,44,"[1,38,39,56,51,56,140,141,142,147,46,47]",725,Run-Row leather and nylon sneakers,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
33,EN1VI733TRGY,EN1VI733TRGYGRU,Cosmic Dust trainers in technical materials,Women,Sneakers,Cosmic Dust,,,,,New,45,"[1,38,39,45,46,47,51,57,67]",795,Cosmic Dust trainers in technical materials,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
